,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Salford Street,Antony,Taylor,59,Head,Divorced,Male,Pharmacologist,None,None
1,1,Salford Street,Shane,Taylor,31,Son,Single,Male,IT trainer,None,None
2,1,Salford Street,Carl,Taylor,30,Son,Divorced,Male,Unemployed,None,None
3,1,Salford Street,Michael,Taylor,27,Son,Single,Male,"Geologist, wellsite",None,None
4,1,Salford Street,Mark,Taylor,23,Son,Single,Male,Information systems manager,None,None
5,2,Salford Street,Deborah,Harris,70,Head,Married,Female,Retired Museum/gallery exhibitions officer,None,Catholic
6,2,Salford Street,Mitchell,Harris,72,Husband,Married,Male,"Retired Editor, commissioning",None,None
7,2,Salford Street,Marie,Harris,37,Daughter,Divorced,Female,Nutritional therapist,None,None
8,3,Salford Street,Hollie,Harris,24,Head,Single,Female,Midwife,None,Muslim
9,3,Salford Street,Stephen,Harris,2,Son,NA,Male,Child,None,NA
10,3,Salford Street,Connor,Harris,0,Son,NA,Male,Child,None,NA
11,4,Salford Street,Amelia,Khan,41,Head,Married,Female,Hydrographic surveyor,None,None
12,4,Salford Street,Marc,Khan,46,Husband,Married,Male,Publishing copy,None,None
13,5,Salford Street,Jayne,Barrett,47,Head,Divorced,Female,Unemployed,None,Catholic
14,5,Salford Street,Ross,Barrett,17,Son,NA,Male,Student,None,NA
15,6,Salford Street,Georgina,Singh,58,Head,Married,Female,Health physicist,None,None
16,6,Salford Street,Paul,Singh,60,Husband,Married,Male,Management consultant,None,None
17,6,Salford Street,Megan,Thompson,34,Daughter,Single,Female,"Scientist, water quality",None,None
18,7,Salford Street,Terence,Rhodes,33,Head,Married,Male,Unemployed,None,Catholic
19,7,Salford Street,Paula,Rhodes,33,Wife,Married,Female,Corporate treasurer,NA,Catholic
20,7,Salford Street,Antony,Rhodes,13,Son,NA,Male,Student,None,NA
21,8,Salford Street,Kevin,Jones,78.03437587482676,Head,Widowed,Male,Retired Charity officer,None,None
22,8,Salford Street,Dominic,Kelly,5.999999999999993,Grandson,NA,Male,Student,None,NA
23,9,Salford Street,Frederick,Cook,31,Head,Single,Male,Building control surveyor,None,Sikh
24,10,Salford Street,Yvonne,Mills,34,Head,Single,Female,Unemployed,None,Catholic
25,10,Salford Street,Jenna,Mills,4,Daughter,NA,Female,Child,None,NA
26,10,Salford Street,Sara,Mills,2,Daughter,NA,Female,Child,None,NA
27,11,Salford Street,Carly,Brennan,58,Head,Married,Female,IT sales professional,None,Catholic
28,11,Salford Street,Edward,Brennan,59,Husband,Married,Male,Immunologist,None,None
29,12,Salford Street,Christine,Farmer,39,Head,Married,Female,Meteorologist,None,Christian
30,12,Salford Street,Stewart,Farmer,45,Husband,Married,Male,"Conservation officer, nature",None,None
31,12,Salford Street,Paige,Farmer,16,Daughter,NA,Female,Student,None,NA
32,12,Salford Street,Justin,James,16,Son,NA,Male,Student,None,NA
33,12,Salford Street,Alan,James,14,Son,NA,M,Student,None,NA
34,13,Salford Street,Dominic,Barnes,69,Head,Single,Male,Retired Counselling psychologist,None,Christian
35,14,Salford Street,Marian,Hall,32,Head,Single,Female,Trading standards officer,None,None
36,14,Salford Street,Danielle,Hall,4,Niece,NA,Female,Child,None,NA
37,14,Salford Street,Rhys,Gallagher,1,Nephew,NA,Male,Child,None,NA
38,15,Salford Street,Lesley,Harris,27,Head,Single,Female,Actuary,None,Christian
39,15,Salford Street,Rebecca,Harris,2,Daughter,NA,Female,Child,None,NA
40,16,Salford Street,Lynn,Lewis,29,Head,Single,Female,Maintenance engineer,None,Catholic
41,16,Salford Street,Simon,Lawrence,32,Partner,Single,Male,"Copywriter, advertising",None,Catholic
42,16,Salford Street,Brenda,Graham,55,Sibling,Single,Female,Careers information officer,None,Muslim
43,16,Salford Street,Wendy,North,19,Lodger,Single,Female,University Student,None,Catholic
44,16,Salford Street,Albert,Owen,58,Lodger,Single,Male,Print production planner,None,Christian
45,17,Salford Street,Nicole,Lee,31,Head,Married,Female,Field seismologist,None,None
46,17,Salford Street,Jonathan,Lee,29,Husband,Married,Male,Hydrogeologist,None,None
47,18,Salford Street,Adam,Burns,81,Head,Married,Male,"Retired Programme researcher, broadcasting/film/video",None,Christian
48,18,Salford Street,Natasha,Burns,80,Wife,Married,Female,Retired Broadcast journalist,None,Christian
49,19,Salford Street,Sian,Wells-Wong,30,Head,Married,Female,Personal assistant,None,None
50,19,Salford Street,Carol,NA,30,Wife,Married,Female,Dancer,None,None
51,19,Salford Street,Darren,Wells-Wong,2,Son,NA,Male,Child,None,NA
52,19,Salford Street,Clifford,Price,39,Lodger,Divorced,Male,"Pharmacist, community",None,Catholic
53,20,Salford Street,Helen,Patel,43,Head,Married,Female,"Clinical scientist, histocompatibility and immunogenetics",None,None
54,20,Salford Street,Ronald,Patel,43,Husband,Married,Male,Camera operator,None,None
55,20,Salford Street,Rosie,Patel,17,Daughter,NA,Female,Student,None,NA
56,20,Salford Street,Christian,Brown-Patel,16,Son,NA,Male,Student,None,NA
57,21,Salford Street,Eileen,Todd,44,Head,Married,Female,Financial manager,None,None
58,21,Salford Street,Douglas,Todd,44,Husband,Married,Male,Commercial horticulturist,None,None
59,21,Salford Street,Ann,Todd,7,Daughter,NA,Female,Student,None,NA
60,22,Salford Street,Samantha,Storey,48,Head,Single,Female,"Engineer, petroleum",None,Methodist
